Date,HomeTeam,AwayTeam,FTHG,FTAG,Result,pH,pD,pA,ExpHomeGoals,ExpAwayGoals,ExpTotalGoals,TrainMatches
2017-11-04,Huddersfield,West Brom,1.0,0.0,H,0.349931884880624,0.32649554495172495,0.32357257016765106,0.9734649544107841,1.0382131763898859,2.0116781308006697,100
2017-11-04,Newcastle,Bournemouth,0.0,1.0,A,0.43199611246610137,0.3281454443988888,0.2398584431350098,1.1179376457025456,0.761395889065548,1.8793335347680937,100
2017-11-04,Southampton,Burnley,0.0,1.0,A,0.3442853527235299,0.3399728376970409,0.3157418095794292,0.9170151303707732,0.886962216160276,1.8039773465310494,100
2017-11-04,Stoke,Leicester,2.0,2.0,D,0.3339013554146003,0.29397798833882727,0.37212065624657237,1.250650305155278,1.5093193764499062,2.759969681605184,100
2017-11-04,Swansea,Brighton,0.0,1.0,A,0.32693573412461086,0.32985686642219125,0.3432073994531979,0.9479139931159315,1.0203226971194732,1.9682366902354047,100
2017-11-04,West Ham,Liverpool,1.0,4.0,A,0.28834492668759953,0.28208120459053576,0.42957386872186476,1.2612364390448105,1.7867134439480716,3.0479498829928824,100
2017-11-05,Man City,Arsenal,3.0,1.0,H,0.6185540175731685,0.22723940897732064,0.1542065734495109,2.9903681227933334,1.169510795819877,4.15987891861321,106
2017-11-05,Tottenham,Crystal Palace,1.0,0.0,H,0.6199129913838186,0.25059784363861914,0.1294891649775622,2.113573101748189,0.6696031516580899,2.783176253406279,106
2017-11-05,Everton,Watford,3.0,2.0,H,0.3015895682998346,0.29303245864200567,0.40537797305815976,1.2762797673796953,1.6540886067557417,2.930368374135437,106
2017-11-05,Chelsea,Man United,1.0,0.0,H,0.31518660799663006,0.31141380271388436,0.3733995892894857,1.0872221991307807,1.3535190870319729,2.4407412861627535,106
2017-11-18,West Brom,Chelsea,0.0,4.0,A,0.2538191884221322,0.31915167941233646,0.4270291321655314,0.8489540192118735,1.349681376549629,2.1986353957615026,110
2017-11-18,Man United,Newcastle,4.0,1.0,H,0.5058736965128654,0.30899547467646593,0.18513082881066864,1.4344932575054536,0.6824360113226828,2.1169292688281365,110
2017-11-18,Liverpool,Southampton,3.0,0.0,H,0.46504585060376236,0.300734157946656,0.23421999144958172,1.5506423887428977,1.0254364801109206,2.576078868853818,110
2017-11-18,Leicester,Man City,0.0,2.0,A,0.1667418732826131,0.2328970530111324,0.6003610737062546,1.0354359773664452,2.8466231423175796,3.882059119684025,110
2017-11-18,Bournemouth,Huddersfield,4.0,0.0,H,0.35443229025613776,0.34874955876438324,0.296818150979479,0.9562202696292865,0.8458388970357457,1.8020591666650323,110
2017-11-18,Burnley,Swansea,2.0,0.0,H,0.4455331080217584,0.3422847209913896,0.212182170986852,1.0502041662304389,0.6902836638488932,1.740487830079332,110
2017-11-18,Arsenal,Tottenham,2.0,0.0,H,0.3325315806868486,0.3063400005448985,0.36112841876825286,1.2562563904588178,1.4203398170129455,2.6765962074717633,110
2017-11-18,Crystal Palace,Everton,2.0,2.0,D,0.35111573898253673,0.31500020651293115,0.33388405450453207,1.2401064194766482,1.2294545967904966,2.4695610162671446,110
2017-11-19,Watford,West Ham,2.0,0.0,H,0.46732179207164093,0.27699491239903673,0.2556832955293224,1.9971957754438296,1.4204225220044855,3.417618297448315,118
2017-11-20,Brighton,Stoke,2.0,2.0,D,0.4506296202809218,0.30372482971278014,0.24564555000629806,1.5276986215864232,1.0188099531905144,2.5465085747769374,119
2017-11-24,West Ham,Leicester,1.0,1.0,D,0.2792351828344437,0.29688993063381663,0.4238748865317396,1.0958152287878926,1.66333238466828,2.7591476134561725,120
2017-11-25,Man United,Brighton,1.0,0.0,H,0.5260168711932272,0.28796929862786314,0.1860138301789097,1.7040010060483595,0.7774398352782841,2.4814408413266436,121
2017-11-25,Liverpool,Chelsea,1.0,1.0,D,0.3461252280365614,0.29396993611043887,0.3599048358529997,1.4189875613224057,1.5816472876517986,3.0006348489742045,121
2017-11-25,Crystal Palace,Stoke,2.0,1.0,H,0.3117791107009153,0.30014145108634216,0.3880794382127426,1.2598365040509711,1.5258293919082269,2.7856658959591982,121
2017-11-25,Tottenham,West Brom,1.0,1.0,D,0.536908074565677,0.2908630640530724,0.1722288613812506,1.6256904606073808,0.72299133033057,2.3486817909379507,121
2017-11-25,Newcastle,Watford,0.0,3.0,A,0.3709619647023726,0.3070027024584452,0.32203533283918223,1.3635274342489514,1.2609081249326834,2.624435559181635,121
2017-11-25,Swansea,Bournemouth,0.0,0.0,D,0.29944509599830216,0.34134103536091565,0.3592138686407822,0.8482768147172192,1.0344410832364153,1.8827178979536345,121
2017-11-26,Burnley,Arsenal,0.0,1.0,A,0.3485476477213719,0.3189928151817838,0.3324595370968444,1.069889803572521,1.1642473814553937,2.234137185027915,127
2017-11-26,Huddersfield,Man City,1.0,2.0,A,0.12944749809029046,0.2110273635932814,0.6595251383164281,0.7017570404720179,2.9599423087456045,3.6616993492176224,127
2017-11-26,Southampton,Everton,4.0,1.0,H,0.4323868323669856,0.3039327757416267,0.2636803918913877,1.4482441976890952,1.032215399221684,2.480459596910779,127
2017-11-28,Watford,Man United,2.0,4.0,A,0.24926660884433058,0.2808392987773431,0.46989409237832636,1.0419694283298842,1.8881336828354274,2.9301031111653115,130
2017-11-28,West Brom,Newcastle,2.0,2.0,D,0.3777203728730484,0.326189175650669,0.2960904514762826,1.1233755576918494,0.9918449226463656,2.115220480338215,130
