OddsBucket,bets,wins,profit,avg_edge,hit_rate,roi
1.00–1.49,421,321,3086.033606638933,0.035472694217497006,0.7624703087885986,0.07330246096529533
1.50–1.99,2996,1462,-42237.28551232306,0.028131079824526395,0.48798397863818427,-0.1409789236058847
2.00–2.99,2251,716,-72063.74413058699,0.023246590710480998,0.31808085295424254,-0.32014102234823183
