Date,HomeTeam,AwayTeam,BetOn,BetTeam,ModelProb,ImpProb,Edge,Odds,Stake,Won,PnL,Bankroll,Strategy,OddsBucket
2002-08-24,Man City,Newcastle,H,Man City,0.5237793193427246,0.498837446993071,0.024941872349653615,2.0046610494618506,210.87414031658903,1,211.8570351148299,8686.138439708018,kelly,2.00–2.99
2002-08-24,Man City,Newcastle,A,Newcastle,0.4762206779816532,0.4535435028396697,0.022677175141983474,2.204860159475167,180.23125695125648,0,-180.23125695125648,8505.907182756762,kelly,2.00–2.99
2002-08-24,West Ham,Arsenal,H,West Ham,0.5244820485825464,0.49950671293575843,0.024975335646788,2.0019750968364063,212.22850771473662,0,-212.22850771473662,8293.678675042025,kelly,2.00–2.99
2002-08-24,West Ham,Arsenal,A,Arsenal,0.4755179487357222,0.452874236891164,0.022643711844558156,2.2081185427209955,171.62385936818927,0,-171.62385936818927,8122.054815673836,kelly,2.00–2.99
2002-08-24,West Brom,Leeds,H,West Brom,0.5259498369370407,0.5009046066067054,0.025045230330335233,1.996388108255448,203.78742852257022,0,-203.78742852257022,7918.267387151266,kelly,1.50–1.99
2002-08-24,West Brom,Leeds,A,Leeds,0.4740501603684675,0.4514763432080643,0.022573817160403187,2.214955478938897,162.93328283244577,1,197.95668467878096,8116.224071830047,kelly,2.00–2.99
2002-08-24,Tottenham,Aston Villa,H,Tottenham,0.5444599951007805,0.51853332866741,0.025926666433370493,1.928516345458298,218.5266880741889,1,202.90560179575135,8319.1296736258,kelly,1.50–1.99
2002-08-24,Tottenham,Aston Villa,A,Aston Villa,0.4555400022129596,0.43384762115519954,0.021692381057760057,2.304956743423682,159.37558305189089,0,-159.37558305189089,8159.754090573908,kelly,2.00–2.99
2002-08-24,Liverpool,Southampton,H,Liverpool,0.5444624405429546,0.5185356576599567,0.02592678288299788,1.9285076835656616,219.70076917508027,1,203.99385226434788,8363.747942838256,kelly,1.50–1.99
2002-08-24,Liverpool,Southampton,A,Southampton,0.4555375567438345,0.4338452921369852,0.02169226460684931,2.304969117157674,160.22884819403174,0,-160.22884819403174,8203.519094644224,kelly,2.00–2.99
2002-08-24,Bolton,Charlton,H,Bolton,0.5373352261526403,0.511747834431086,0.02558739172155433,1.954087409303271,214.95722023611307,0,-214.95722023611307,7988.56187440811,kelly,1.50–1.99
2002-08-24,Bolton,Charlton,A,Charlton,0.4626647711936157,0.4406331154224912,0.022031655771124536,2.2694617471979437,157.32183132026432,1,199.71404686020293,8188.275921268313,kelly,2.00–2.99
2002-08-24,Birmingham,Blackburn,H,Birmingham,0.5323740574404204,0.5070229118480195,0.025351145592400925,1.972297457633928,210.53937395852017,0,-210.53937395852017,7977.7365473097925,kelly,1.50–1.99
2002-08-24,Birmingham,Blackburn,A,Blackburn,0.4676259398523412,0.4453580379546106,0.02226790189773059,2.245384420572458,160.14606445057993,1,199.44341368274496,8177.179960992537,kelly,2.00–2.99
2002-08-24,Middlesbrough,Fulham,H,Middlesbrough,0.5316594766601108,0.5063423587239151,0.025317117936195732,1.974948338353919,209.68239134595356,0,-209.68239134595356,7967.4975696465835,kelly,1.50–1.99
2002-08-24,Middlesbrough,Fulham,A,Fulham,0.468340520652301,0.4460385910974295,0.02230192955487148,2.241958476148014,160.38172214819366,0,-160.38172214819366,7807.1158474983895,kelly,2.00–2.99
2002-08-24,Sunderland,Everton,H,Sunderland,0.5387868246509561,0.5131303091913867,0.025656515459569373,1.9488227105037783,205.7053378115602,0,-205.7053378115602,7601.410509686829,kelly,1.50–1.99
