Matchday,Date,HomeTeam,AwayTeam,FTHG,FTAG,Result,pH,pD,pA,ExpHomeGoals,ExpAwayGoals,ExpTotalGoals,TrainMatches
2,2015-08-22,Crystal Palace,Aston Villa,2.0,1.0,H,0.3458262669387247,0.3078172445039705,0.3463564885573047,1.253294672328977,1.3331941008399095,2.5864887731688864,220
2,2015-08-22,Leicester,Tottenham,1.0,1.0,D,0.30273027914966705,0.3014437709533726,0.39582594989696046,1.1438463181773821,1.5288566153108343,2.6727029334882166,220
2,2015-08-22,Man United,Newcastle,0.0,0.0,D,0.5633469534495514,0.2686710224988958,0.16798202405155277,1.950755841812587,0.9256875918720939,2.876443433684681,220
2,2015-08-22,Norwich,Stoke,1.0,1.0,D,0.3553752351792755,0.318589698211287,0.32603506660943754,1.1097770530600122,1.1896249452565326,2.2994019983165446,220
2,2015-08-22,Sunderland,Swansea,1.0,1.0,D,0.4822780223895934,0.2806711586472803,0.2370508189631263,1.8780215434339342,1.2107941425882691,3.0888156860222034,220
2,2015-08-22,West Ham,Bournemouth,3.0,4.0,A,0.6213602808838559,0.23919268213330086,0.1394470369828434,2.475264639347817,0.9230430674873958,3.398307706835213,220
2,2015-08-23,West Brom,Chelsea,2.0,3.0,A,0.3890381462055247,0.3109093123102682,0.3000525414842071,1.2943006039083897,1.1778653531317373,2.472165957040127,220
2,2015-08-23,Everton,Man City,0.0,2.0,A,0.13453831113148293,0.24801014389922713,0.6174515449692899,0.7408441072275788,2.2107996360664663,2.951643743294045,220
2,2015-08-23,Watford,Southampton,0.0,0.0,D,0.433825531758648,0.29067367788681275,0.27550079035453917,1.7013932254975257,1.259728778963131,2.9611220044606568,220
2,2015-08-24,Arsenal,Liverpool,0.0,0.0,D,0.4387191487762815,0.27812401695590594,0.2831568342678125,1.9518588475101,1.4901335697871263,3.441992417297226,220
2,2016-01-16,Man City,Crystal Palace,4.0,0.0,H,0.6592570808398915,0.22287722892578046,0.11786569023432801,2.744732534937061,0.9059075094575605,3.6506400443946214,220
2,2016-01-16,Aston Villa,Leicester,1.0,1.0,D,0.3929936153927851,0.30903856831682885,0.297967816290386,1.305006866776913,1.2022405465239387,2.5072474133008518,220
2,2016-01-16,Chelsea,Everton,3.0,3.0,D,0.45626471105058775,0.3169591715780104,0.22677611737140185,1.2931987061668857,0.8545048751923665,2.147703581359252,220
2,2016-01-16,Southampton,West Brom,3.0,0.0,H,0.3641247946129039,0.3079175816867238,0.3279576237003723,1.3007506027087015,1.2815241239319746,2.582274726640676,220
2,2016-01-16,Newcastle,West Ham,2.0,1.0,H,0.33546038086020746,0.2903722569455519,0.3741673621942406,1.5119344273810935,1.6141496726657765,3.12608410004687,220
2,2016-01-16,Tottenham,Sunderland,4.0,1.0,H,0.4701830358208717,0.2798213856366404,0.24999557854248805,1.9254253335033757,1.2476171278581443,3.1730424613615202,220
2,2016-01-16,Bournemouth,Norwich,3.0,0.0,H,0.2672003179654233,0.2989648868448221,0.4338347951897547,1.0471451493086383,1.5929795912287212,2.6401247405373596,220
2,2016-01-17,Liverpool,Man United,0.0,1.0,A,0.34191826643768597,0.2856313160068782,0.3724504175554359,1.5551842236354134,1.7329273425415568,3.28811156617697,220
2,2016-01-17,Stoke,Arsenal,0.0,0.0,D,0.2425384747901709,0.3004380075263059,0.4570235176835232,0.9177360199359287,1.5734630220040526,2.491199041939981,220
2,2016-01-18,Swansea,Watford,1.0,0.0,H,0.3089100142167454,0.2950522256980955,0.396037760085159,1.2715411431452155,1.6199945261373865,2.891535669282602,220
2,2017-08-26,Huddersfield,Southampton,0.0,0.0,D,0.3731659900562595,0.31399098184431196,0.31284302809942854,1.2718961245392515,1.1509762839005577,2.422872408439809,220
2,2017-08-26,Bournemouth,Man City,1.0,2.0,A,0.10374631656865739,0.2029588161191632,0.6932948673121795,0.7398318587973868,3.1136703194824906,3.8535021782798773,220
2,2017-08-26,Crystal Palace,Swansea,0.0,2.0,A,0.4181974273740695,0.30161000880708344,0.28019256381884705,1.469568541156611,1.1996370472975513,2.6692055884541626,220
2,2017-08-26,Watford,Brighton,0.0,0.0,D,0.36279898656114384,0.3062729620602506,0.33092805137860554,1.312027586519983,1.313427806668737,2.6254553931887203,220
2,2017-08-26,Man United,Leicester,2.0,0.0,H,0.5599902490166919,0.27111678070764195,0.16889297027566608,1.9122260222115,0.8960470277251629,2.8082730499366626,220
2,2017-08-26,Newcastle,West Ham,3.0,0.0,H,0.33546038086020746,0.2903722569455519,0.3741673621942406,1.5119344273810935,1.6141496726657765,3.12608410004687,220
2,2017-08-27,Chelsea,Everton,2.0,0.0,H,0.45626471105058775,0.3169591715780104,0.22677611737140185,1.2931987061668857,0.8545048751923665,2.147703581359252,220
2,2017-08-27,Liverpool,Arsenal,4.0,0.0,H,0.3635287370159663,0.2822424142916375,0.3542288486923962,1.6468522853769805,1.7661149199516826,3.412967205328663,220
2,2017-08-27,Tottenham,Burnley,1.0,1.0,D,0.5420454915502144,0.27613065555261396,0.18182385289717157,1.8768165748825525,0.8616134333157147,2.738430008198267,220
2,2017-08-27,West Brom,Stoke,1.0,1.0,D,0.38589744352030475,0.3200346246144822,0.2940679318652132,1.159338118279587,1.0881000764984445,2.2474381947780318,220
2,2018-01-15,Man United,Stoke,3.0,0.0,H,0.5504935377154546,0.28288353354059714,0.16662292874394818,1.7062685422581834,0.7841795716518288,2.4904481139100123,220
2,2018-01-20,Leicester,Watford,2.0,0.0,H,0.37010483558185275,0.2976180507784145,0.33227711363973267,1.4707065668580699,1.4122805313780955,2.8829870982361654,220
