OddsBucket,bets,wins,profit,avg_edge,hit_rate,roi
1.00–1.49,311,239,116.94818660211372,0.035777055068483304,0.7684887459807074,0.1724941323700166
1.50–1.99,1464,793,-1490.0710015423665,0.028248383097047174,0.5416666666666666,-0.0406624849923099
2.00–2.99,907,311,-8605.88156700474,0.023259604988482285,0.3428886438809261,-0.2620328993547259
