Date,Bankroll,Strategy
2002-08-17,9900.0,flat
2002-08-17,9800.0,flat
2002-08-17,9700.0,flat
2002-08-17,9826.779723764368,flat
2002-08-17,9726.779723764368,flat
2002-08-17,9626.779723764368,flat
2002-08-17,9722.312037178508,flat
2002-08-17,9622.312037178508,flat
2002-08-17,9717.844350592648,flat
2002-08-17,9617.844350592648,flat
2002-08-17,9713.376664006788,flat
2002-08-17,9613.376664006788,flat
2002-08-17,9513.376664006788,flat
2002-08-17,9413.376664006788,flat
2002-08-18,9508.908977420928,flat
2002-08-18,9408.908977420928,flat
2002-08-18,9308.908977420928,flat
2002-08-18,9435.688701185296,flat
2002-08-19,9531.221014599436,flat
2002-08-19,9431.221014599436,flat
2002-08-23,9331.221014599436,flat
2002-08-23,9231.221014599436,flat
2002-08-24,9331.68711954562,flat
2002-08-24,9231.68711954562,flat
2002-08-24,9131.68711954562,flat
2002-08-24,9031.68711954562,flat
2002-08-24,8931.68711954562,flat
2002-08-24,9053.18266743951,flat
2002-08-24,9146.03430198534,flat
2002-08-24,9046.03430198534,flat
2002-08-24,9138.885070341907,flat
2002-08-24,9038.885070341907,flat
2002-08-24,8938.885070341907,flat
2002-08-24,9065.831245061701,flat
2002-08-24,8965.831245061701,flat
2002-08-24,9090.369687118948,flat
2002-08-24,8990.369687118948,flat
2002-08-24,8890.369687118948,flat
2002-08-24,8790.369687118948,flat
2002-08-24,8918.030140516958,flat
2002-08-27,9007.236255216669,flat
2002-08-27,8907.236255216669,flat
2002-08-27,9031.35223277731,flat
2002-08-28,9130.607078788204,flat
2002-08-28,9030.607078788204,flat
2002-08-28,8930.607078788204,flat
2002-08-28,8830.607078788204,flat
2002-08-28,8730.607078788204,flat
2002-08-28,8630.607078788204,flat
2002-08-28,8530.607078788204,flat
2002-08-28,8430.607078788204,flat
2002-08-31,8330.607078788204,flat
2002-08-31,8456.792190159547,flat
2002-08-31,8561.823048058808,flat
2002-08-31,8461.823048058808,flat
