Date,HomeTeam,AwayTeam,home_win_prob,draw_prob,away_win_prob,most_likely_score,most_likely_score_prob,btts_yes,btts_no,over_2_5,under_2_5,exp_home_goals,exp_away_goals,exp_total_goals
2002-08-17,Blackburn,Sunderland,0.37704177212823753,0.32577656102352426,0.29718166684823827,1-0,0.14878270005274424,0.3837318729423508,0.6162681270576492,0.3067786027890244,0.6932213972109755,1.0343948562019076,0.9048374180359595,1.9392322742378671
2003-01-01,Leeds,Birmingham,0.4282457423909538,0.3095592352723685,0.2621950223366777,1-0,0.14456188006894802,0.42701184451320706,0.5729881554867929,0.36851735662713553,0.6314826433728644,1.2634127303917022,0.9048374180359595,2.1682501484276617
2015-08-08,Leicester,Sunderland,0.4389921697096924,0.2943274414793941,0.2666803888109135,1-1,0.12443778350219396,0.5015074581075518,0.4984925418924482,0.4613274446043064,0.5386725553956936,1.4656251282978001,1.0564107289681233,2.5220358572659234
2016-01-02,Watford,Man City,0.35853648411539235,0.3108292184084593,0.33063429747614836,1-1,0.13342756307074152,0.45554136736878,0.54445863263122,0.3900136480489173,0.6099863519510826,1.1431831128813896,1.1051709180756477,2.2483540309570373
2017-08-11,Arsenal,Leicester,0.4127615767626084,0.28250481933315696,0.30473360390423465,1-1,0.11137425764164341,0.6014741478611808,0.3985258521388192,0.5774000513892906,0.4225999486107094,1.6160744780475127,1.390357952675172,3.0064324307226844
2018-01-01,Brighton,Bournemouth,0.3902065736478847,0.3044543608711991,0.3053390654809162,1-1,0.13077553793227864,0.47967043254984204,0.520329567450158,0.421776437049619,0.578223562950381,1.2634127303917022,1.1051709180756477,2.36858364846735
2019-01-01,Cardiff,Tottenham,0.3237647393177924,0.3096166869123615,0.3666185737698461,1-1,0.13244344095171356,0.4544534988730354,0.5455465011269647,0.3919750985764306,0.6080249014235695,1.0343948562019076,1.2214027581601699,2.2557976143620775
2020-01-01,West Ham,Bournemouth,0.476889533680276,0.28729684367485414,0.23581362264486988,1-0,0.12550504545539154,0.48828391931392784,0.5117160806860721,0.46758260211137337,0.5324173978886266,1.6011983988174994,0.9463648482151215,2.547563247032621
2021-01-01,Everton,West Ham,0.3225471759761848,0.31812390245374234,0.35932892157007296,0-1,0.13599920096981455,0.425195933413948,0.574804066586052,0.3555542279390627,0.6444457720609373,0.9872838494076605,1.1325379790589174,2.119821828466578
2022-01-01,Watford,Tottenham,0.31100537660113486,0.3195880998665894,0.36940652353227577,0-1,0.13745082407149223,0.42429736219473363,0.5757026378052663,0.3552120090105515,0.6447879909894485,0.9753817309065069,1.1431831128813896,2.1185648437878966
2023-01-01,Tottenham,Aston Villa,0.3775003168378292,0.3193560707727686,0.3031436123894022,1-0,0.1346948383478672,0.4256445383096434,0.5743554616903566,0.3554796388825151,0.6445203611174849,1.1213581115329996,0.998175458896964,2.1195335704299634
2024-01-01,Liverpool,Newcastle,0.44309790608324406,0.29242799810590847,0.26447409581084746,1-1,0.12084482394851075,0.5257111618457667,0.4742888381542333,0.492999481334088,0.507000518665912,1.543135793595096,1.1051709180756477,2.6483067116707435
2025-01-01,Brentford,Arsenal,0.3343189449502296,0.2987175399437816,0.3669635151059888,1-1,0.12461411932023268,0.5320292136719844,0.4679707863280156,0.48664954823236817,0.5133504517676318,1.239594058555723,1.3825001180757488,2.622094176631472
2002-08-17,Charlton,Chelsea,0.36222768075740663,0.3041031655664115,0.33366915367618194,1-1,0.12868614980097118,0.5057099513555634,0.4942900486444366,0.4519461901000397,0.5480538098999603,1.2634127303917022,1.2214027581601699,2.484815488551872
2003-01-01,Man United,Sunderland,0.4323298289867227,0.3037911366649105,0.26387903434836685,1-1,0.1283580444050547,0.47100073407592224,0.5289992659240778,0.42104731562669645,0.5789526843733035,1.363887273034997,1.0021967877447169,2.3660840607797136
2015-08-08,Man United,Tottenham,0.39585144091766644,0.32308014605802005,0.28106841302431357,1-0,0.14446614290407686,0.40782983052110794,0.5921701694788921,0.33686611386169746,0.6631338861383025,1.122607276044578,0.9279775390261343,2.0505848150707124
2016-01-02,West Ham,Liverpool,0.4635086540092124,0.2987336607000801,0.23775768529070754,1-0,0.1326039807611858,0.4685373790519344,0.5314626209480656,0.43339465490295076,0.5666053450970492,1.4807880764361085,0.9330893157403394,2.413877392176448
2017-08-12,Watford,Liverpool,0.36678783773954055,0.29480283448884115,0.3384093277716184,1-1,0.11955011623223075,0.565924427595291,0.43407557240470895,0.5282440669596002,0.47175593304039976,1.4184673305357962,1.3743159437612766,2.792783274297073
2018-01-01,Burnley,Liverpool,0.36132253404960846,0.30035515059290013,0.3383223153574914,1-1,0.124783709290332,0.5345890131281029,0.4654109868718971,0.4882235724677366,0.5117764275322634,1.3275075241415413,1.3008438837313356,2.628351407872877
2019-01-01,Arsenal,Fulham,0.5061038737378021,0.2743855411544587,0.21951058510773927,1-1,0.10529139713214954,0.5578859662275049,0.44211403377249514,0.5662278117429335,0.43377218825706654,1.8868580350722575,1.072852310105334,2.9597103451775917
2020-01-01,Arsenal,Man United,0.48002634117514076,0.2881484214744048,0.2318252373504544,1-0,0.11772537434604076,0.5080565916560423,0.49194340834395767,0.4906663078917568,0.5093336921082432,1.6465986203677794,0.9931642947095398,2.639762915077319
2021-01-01,Man United,Aston Villa,0.3887405332226118,0.3168013849197252,0.294458081857663,1-1,0.13365626836347527,0.4408991935648296,0.5591008064351703,0.3742537820621528,0.6257462179378472,1.1668397847778142,1.0225743422102431,2.1894141269880576
